school_number,school,year,meet,sport,event,division,rank,source
410050,狛江,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/3d48d95b16a2ffd6ce9242fd8a9f2a6b.pdf
410050,狛江,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,B組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/14B.pdf
410050,狛江,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,B組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/34a0a8684a4a5dde7c2f7f49cdd146f4-3.pdf
410220,府中東,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,B組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/2c9e4a14f98a3ad4c7c6fc470edef9e1.pdf
410220,府中東,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,B組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/1320a9bee6735a923c87fd4240e7763e.pdf
410220,府中東,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,B組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/13B-1.pdf
410220,府中東,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/7d680b3494d788f321dd9ce6cce6ee74.pdf
410230,府中西,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/2c9e4a14f98a3ad4c7c6fc470edef9e1.pdf
410230,府中西,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/53e3451720747af128373fcdcc3b006c.pdf
410230,府中西,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,B組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/14B.pdf
